Tiempo,Referencia,Salida_Planta,z0,z1,z2,z3
0,0,0,0,0,0,0.0072
0.004,0,6.912e-14,7.68e-11,5.76e-08,2.88e-05,0.0144
0.008,0,7.21883e-13,4.27124e-10,2.08519e-07,6.2478e-05,0.0072
0.012,0,3.52057e-12,8.81459e-10,3.28592e-07,5.45416e-05,0
0.016,0,1.10676e-11,9.85477e-10,2.77491e-07,1.05106e-05,-0.0072
0.02,0,2.56391e-11,3.12354e-10,-2.2779e-08,-6.35655e-05,-0.0144
0.024,0,4.67438e-11,-1.19718e-09,-5.52531e-07,-0.000155137,-0.0216
0.028,0,6.91417e-11,-2.8071e-09,-1.03207e-06,-0.000194004,-0.0144
0.032,0,8.22032e-11,-4.71546e-09,-1.44277e-06,-0.000192784,-0.0072
0.036,0,7.02203e-11,-6.31331e-09,-1.64871e-06,-0.000154621,1.73472e-18
0.04,0,1.42242e-11,-6.93569e-09,-1.54657e-06,-8.25894e-05,0.0072
0.044,0,-1.04089e-10,-5.96971e-09,-1.06401e-06,1.99552e-05,0.0144
0.048,0,-2.96805e-10,-2.9994e-09,-1.68245e-07,0.000148586,0.0216
0.052,0,-5.63679e-10,1.87228e-09,1.09561e-06,0.000294788,0.0288
0.056,0,-8.88955e-10,6.02296e-09,2.11272e-06,0.000356832,0.0216
0.06,0,-1.24239e-09,1.05996e-08,3.00899e-06,0.000372044,0.0144
0.064,0,-1.58096e-09,1.5132e-08,3.67862e-06,0.00034765,0.0072
0.068,0,-1.85098e-09,1.88168e-08,4.01116e-06,0.000286824,1.73472e-18
0.072,0,-1.99262e-09,2.08023e-08,3.91436e-06,0.00019218,-0.0072
0.076,0,-1.94703e-09,2.02888e-08,3.31739e-06,6.63325e-05,-0.0144
0.08,0,-1.66533e-09,1.66312e-08,2.17567e-06,-8.77107e-05,-0.0216
0.084,0,-1.11875e-09,9.49444e-09,4.82406e-07,-0.000265878,-0.0288
0.088,0,-3.08495e-10,-8.00783e-10,-1.69523e-06,-0.000460846,-0.036
0.092,0,7.29745e-10,-1.01202e-08,-3.56997e-06,-0.000561859,-0.0288
0.096,0,1.92922e-09,-1.89314e-08,-5.13542e-06,-0.000596008,-0.0216
0.1,0,3.19744e-09,-2.80431e-08,-6.44437e-06,-0.00058762,-0.0144
0.104,0,4.42e-09,-3.66166e-08,-7.39126e-06,-0.000540648,-0.0072
0.108,0,5.4656e-09,-4.36393e-08,-7.87597e-06,-0.000457665,1.73472e-18
0.112,0,6.19432e-09,-4.80707e-08,-7.81201e-06,-0.000340869,0.0072
0.116,0,6.46845e-09,-4.89229e-08,-7.1294e-06,-0.000192415,0.0144
0.12,0,6.16575e-09,-4.53418e-08,-5.77782e-06,-1.46342e-05,0.0216
0.124,0,5.19403e-09,-3.6711e-08,-3.73233e-06,0.000189684,0.0288
0.128,0,3.50602e-09,-2.28193e-08,-1.00547e-06,0.00041674,0.036
0.132,0,1.11281e-09,-4.22443e-09,2.31953e-06,0.000660059,0.0432
0.136,0,-1.90804e-09,1.61287e-08,5.89484e-06,0.000898007,0.0504
0.14,0,-5.41617e-09,3.28615e-08,8.73826e-06,0.00100854,0.0432
